date,timestamp,vm,port,process
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,127.0.0.1:9091,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,0.0.0.0:8000,"users:((""python3"",pid=317164,fd=3))"
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,127.0.0.1:46563,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,0.0.0.0:5000,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,127.0.0.54:53,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,0.0.0.0:443,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,0.0.0.0:22,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,0.0.0.0:8765,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,0.0.0.0:81,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,0.0.0.0:80,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,0.0.0.0:4180,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,127.0.0.53%lo:53,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,0.0.0.0:5355,0.0.0.0:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,[::]:5000,[::]:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,[::]:443,[::]:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,[::]:22,[::]:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,[::]:8765,[::]:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,[::]:81,[::]:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,[::]:80,[::]:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,[::]:4180,[::]:*
2025-12-15,2025-12-15T23:22:46.110822,gcp-f-micro_1,[::]:5355,[::]:*
