name,host,display_name
authelia,arch-1,authelia (GCP)
authelia-redis,arch-1,authelia-redis (GCP)
c3-collector,arch-1,c3-collector (GCP)
dozzle,arch-1,dozzle (GCP)
flask-api,arch-1,flask-api (GCP)
npm,arch-1,npm (GCP)
oauth2-proxy,arch-1,oauth2-proxy (GCP)
portainer,arch-1,portainer (GCP)
cache-app,flex1,cache-app (flex1)
cloud-app,flex1,cloud-app (flex1)
photoprism-app,flex1,photoprism-app (flex1)
photos-db,flex1,photos-db (flex1)
radicale-app,flex1,radicale-app (flex1)
sync-app,flex1,sync-app (flex1)
mailu-admin-1,micro1,mailu-admin-1 (micro1)
mailu-antispam-1,micro1,mailu-antispam-1 (micro1)
mailu-front-1,micro1,mailu-front-1 (micro1)
mailu-imap-1,micro1,mailu-imap-1 (micro1)
mailu-redis-1,micro1,mailu-redis-1 (micro1)
mailu-resolver-1,micro1,mailu-resolver-1 (micro1)
mailu-smtp-1,micro1,mailu-smtp-1 (micro1)
mailu-webmail-1,micro1,mailu-webmail-1 (micro1)
smtp-proxy,micro1,smtp-proxy (micro1)
syncthing,micro1,syncthing (micro1)
matomo-app,micro2,matomo-app (micro2)
matomo-db,micro2,matomo-db (micro2)
